Appellation officielle,Dénomination principale,Secteur Public/Privé,Code postal,lat,lon
Lycée professionnel agricole de Saintes - Le-Petit-Chadignac,LYCEE PROFESSIONNEL AGRICOLE,Public,17119,45.72007240723688,-0.6635695246980274
Ecole maternelle Simone Veil Montendre,ECOLE MATERNELLE PUBLIQUE,Public,17130,45.27992660714009,-0.40821025501220876
Ecole maternelle Montguyon,ECOLE MATERNELLE PUBLIQUE,Public,17270,45.21467331199782,-0.18545977331952934
Ecole maternelle Mirambeau,ECOLE MATERNELLE PUBLIQUE,Public,17150,45.37092936579082,-0.5700105306598966
Ecole maternelle René Descartes,ECOLE MATERNELLE PUBLIQUE,Public,17000,46.16139736129138,-1.1789994185040653
Ecole maternelle Jean Bart La Rochelle,ECOLE MATERNELLE D APPLICATION,Public,17000,46.16674209173936,-1.1740701565450522
Ecole maternelle St Aigulin,ECOLE MATERNELLE PUBLIQUE,Public,17360,45.155674046444645,-0.012459491965635509
Ecole élémentaire Jules Ferry St Martin de Ré,ECOLE ELEMENTAIRE PUBLIQUE,Public,17410,46.20096476160635,-1.368369995618917
Ecole élémentaire St Porchaire,ECOLE ELEMENTAIRE PUBLIQUE,Public,17250,45.81985392931366,-0.7807693682847743
Ecole maternelle St Porchaire,ECOLE MATERNELLE PUBLIQUE,Public,17250,45.81985978400478,-0.7812403893382304
Ecole maternelle La Petite Couture Aytré,ECOLE MATERNELLE PUBLIQUE,Public,17440,46.13087877041732,-1.122469518979615
Ecole maternelle Pauline Kergomard Cozes,ECOLE MATERNELLE PUBLIQUE,Public,17120,45.58213966986817,-0.8307899752648192
Ecole élémentaire St Mard,ECOLE ELEMENTAIRE PUBLIQUE,Public,17700,46.08496231971661,-0.7137004163971032
Ecole primaire Massiou La Rochelle,ECOLE PRIMAIRE,Public,17000,46.16497168284963,-1.149230523070683
Ecole élémentaire Barthélémy Profit La Rochelle,ECOLE ELEMENTAIRE PUBLIQUE,Public,17000,46.153271118999555,-1.1318680843860713
Ecole élémentaire La Clairière Royan,ECOLE ELEMENTAIRE PUBLIQUE,Public,17200,45.620587946242736,-1.0121195499023123
Ecole primaire Paul Bureau Sablonceaux,ECOLE PRIMAIRE PUBLIQUE,Public,17600,45.7189512422682,-0.8879194541459663
Ecole primaire des Chênes St Augustin,ECOLE PRIMAIRE PUBLIQUE,Public,17570,45.67710741205152,-1.1004600907091269
Ecole élémentaire Jean Jaurès St Bonnet sur Gironde,ECOLE ELEMENTAIRE PUBLIQUE,Public,17150,45.35445974374838,-0.659449828780911
Ecole élémentaire Plaisance Tonnay Charente,ECOLE ELEMENTAIRE PUBLIQUE,Public,17430,45.94720862082112,-0.8898099642505058
Ecole primaire Trizay,ECOLE PRIMAIRE PUBLIQUE,Public,17250,45.882990780490836,-0.8960004849474608
Ecole primaire Villedoux,ECOLE PRIMAIRE,Public,17230,46.23985279172849,-1.0668299163082064
Ecole élémentaire Vouhé,ECOLE ELEMENTAIRE PUBLIQUE,Public,17700,46.144469352655065,-0.7997804862984087
Ecole élémentaire La Brée les Bains,ECOLE ELEMENTAIRE PUBLIQUE,Public,17840,46.01353774360534,-1.3458697398078814
Ecole primaire Beauregard La Rochelle,ECOLE PRIMAIRE PUBLIQUE,Public,17000,46.17195227241951,-1.133720316983589
Ecole élémentaire Georges Guérineau Rochefort,ECOLE ELEMENTAIRE PUBLIQUE,Public,17300,45.949418811437454,-0.9659198029183437
Ecole élémentaire St Simon de Bordes,ECOLE ELEMENTAIRE PUBLIQUE,Public,17500,45.39548526624914,-0.45406015699390695
Ecole élémentaire Salignac de Mirambeau,ECOLE ELEMENTAIRE PUBLIQUE,Public,17130,45.34507862885667,-0.4832504871370633
Ecole élémentaire La Seudre Saujon,ECOLE ELEMENTAIRE PUBLIQUE,Public,17600,45.6760967136,-0.927540614249632
Ecole élémentaire Soubran,ECOLE ELEMENTAIRE PUBLIQUE,Public,17150,45.353101040327445,-0.5149994329445657
Ecole maternelle Meux,ECOLE MATERNELLE PUBLIQUE,Public,17500,45.44295318500685,-0.3527695113575513
Ecole élémentaire Mosnac,ECOLE ELEMENTAIRE PUBLIQUE,Public,17240,45.50575617485847,-0.5243496259365118
Ecole élémentaire Nancras,ECOLE ELEMENTAIRE PUBLIQUE,Public,17600,45.745829688335135,-0.8805795369088337
Ecole primaire Nuaillé d'Aunis,ECOLE PRIMAIRE PUBLIQUE,Public,17540,46.2267821163143,-0.928509793176577
Ecole élémentaire Plassac,ECOLE ELEMENTAIRE PUBLIQUE,Public,17240,45.46653733678512,-0.5660801315808364
Ecole primaire René Caillé Pont l'Abbé d'Arnoult,ECOLE PRIMAIRE PUBLIQUE,Public,17250,45.82912101078573,-0.8700002333585544
Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,Public,17880,46.24996896716715,-1.4996702424970814
Ecole élémentaire Guitinières,ECOLE ELEMENTAIRE PUBLIQUE,Public,17500,45.44021132907239,-0.513629395915184
Ecole primaire Samuel de Champlain Marennes Hiers Brouage,ECOLE PRIMAIRE PUBLIQUE,Public,17320,45.865981829555516,-1.0726314939115724
